City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,dikson,73.5069,80.5464,-9.87,92,{'all': 11},16.2,RU,1681225672
1,okhotsk,59.3833,143.3,7.95,90,{'all': 7},4.52,RU,1681225672
2,avarua,-21.2078,-159.775,77.05,69,{'all': 25},5.75,CK,1681225672
3,rikitea,-23.1203,-134.9692,76.42,70,{'all': 100},6.42,PF,1681225672
4,havre-saint-pierre,50.2334,-63.5986,33.76,99,{'all': 100},7.92,CA,1681225672
5,severo-kurilsk,50.6789,156.125,30.02,80,{'all': 90},24.23,RU,1681225673
6,hermanus,-34.4187,19.2345,64.8,61,{'all': 100},8.86,ZA,1681225673
7,hampton,37.0299,-76.3452,64.18,41,{'all': 0},8.05,US,1681225673
8,asau,46.4333,26.4,45.52,96,{'all': 100},8.01,RO,1681225673
9,nikolayevka,53.1257,47.2041,54.46,41,{'all': 3},5.66,RU,1681225674
10,yellowknife,62.456,-114.3525,18.52,92,{'all': 100},11.45,CA,1681225674
11,fort abbas,29.1925,72.8536,87.76,20,{'all': 100},21.32,PK,1681225674
12,thinadhoo,0.5333,72.9333,83.23,70,{'all': 46},2.39,MV,1681225674
13,georgetown,5.4112,100.3354,85.95,83,{'all': 20},3.44,MY,1681225500
14,vaini,-21.2,-175.2,78.96,83,{'all': 20},10.36,TO,1681225674
15,kemijarvi,66.7131,27.4306,34.66,99,{'all': 100},5.08,FI,1681225675
16,mogadishu,2.0371,45.3438,85.87,79,{'all': 40},14.97,SO,1681225534
17,victoria,22.2855,114.1577,75.33,87,{'all': 17},1.01,HK,1681225509
18,cape town,-33.9258,18.4232,66.88,48,{'all': 0},17.27,ZA,1681225415
19,mataura,-46.1927,168.8643,52.48,99,{'all': 91},2.62,NZ,1681225675
20,petawawa,45.9001,-77.3328,40.59,75,{'all': 100},3.44,CA,1681225576
21,tuktoyaktuk,69.4541,-133.0374,-2.2,78,{'all': 20},21.85,CA,1681225676
22,mahebourg,-20.4081,57.7,78.26,80,{'all': 85},10.29,MU,1681225676
23,bilma,18.6853,12.9164,93.56,9,{'all': 68},20.4,NE,1681225676
24,busselton,-33.65,115.3333,61.92,76,{'all': 24},4.09,AU,1681225676
25,punta arenas,-53.15,-70.9167,46.51,57,{'all': 40},20.71,CL,1681225672
26,ushuaia,-54.8,-68.3,37.06,75,{'all': 75},11.5,AR,1681225677
27,camacha,33.0833,-16.3333,67.42,64,{'all': 20},9.22,PT,1681225677
28,andenes,69.3143,16.1194,42.93,65,{'all': 0},5.75,NO,1681225677
29,suclayin,15.7568,121.5503,73.29,91,{'all': 100},4.21,PH,1681225677
30,saint george,37.1041,-113.5841,50.59,62,{'all': 0},5.75,US,1681224847
31,ponta do sol,32.6667,-17.1,79.72,66,{'all': 1},5.95,PT,1681225678
32,phan thiet,10.9333,108.1,78.19,91,{'all': 57},3.94,VN,1681225545
33,fairbanks,64.8378,-147.7164,-0.06,74,{'all': 40},3.44,US,1681225614
34,new norfolk,-42.7826,147.0587,53.71,77,{'all': 99},1.01,AU,1681225678
35,chuy,-33.6971,-53.4616,78.13,60,{'all': 28},7.56,UY,1681225678
